"","X","sid","age","female","ethnic","married","major","HSalg","HScalc","COalg","COcalc","likeeng","likemath","matheng","extramath","extraeng","prefsub","rd","mv","sonaid","nativea","asian","africana","hispanic","pacifici","white","majortype","vp","mp","corv","gotv","corm","gotm","vt","mt","id","cav","trt"
"15",15,40,18,"Male","Asian","Single","biological sciences, b.s.","Yes","Yes","Yes","Yes","i like them a lot","i niether like nor dislike them","i like math/statistics and composition/literature equally well","probably","defintely","15","rdd","math training",32452,"no","yes","no","no","no","no","math intensive",20,8,0,"no",5,"yes",8,15,40,0,1
"16",16,43,20,"Male","Hisp","Single","computer science/engineering, b.s. ","Yes","No","Yes","Yes","i niether like nor dislike them","i like them a lot","i like math and statistics best","definitely","not likely","5","rdd","math training",32407,"no","no","no","yes","no","no","math intensive",20,8,0,"no",3,"yes",6,16,43,0,1
"17",17,44,19,"Female","Black","Single","undecided","Yes","Yes","No","No","i like them a little","i like them a little","i like math and statistics best","not really","maybe","6 11 15","rdd","vocab training",32404,"no","no","yes","no","no","no","unknown",19,7,31,"yes",0,"no",16,10,44,-1,0
"18",18,46,19,"Female","Asian","Single","psychology, b.a.","Yes","No","No","No","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","certainly not","certainly not","2 8 14","rdd","vocab training",32230,"no","yes","no","no","no","no","english intensive",16,5,19,"yes",0,"no",12,5,46,-4,1
"19",19,48,18,"Female","Asian","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","maybe","not likely","2 3 8","rdd","math training",32263,"no","yes","no","no","no","no","english intensive",26,11,0,"no",5,"yes",6,17,48,6,1
"20",20,49,18,"Female","Other","Single","economics, b.a. ","Yes","No","No","Yes","i like them a lot","i like them a little","i like composition and literature best","not really","probably","7, 11, 13, 14,15","rdd","math training",32479,"no","no","no","no","no","no","math intensive",21,7,0,"no",3,"yes",6,10,49,1,1
"21",21,50,19,"Male","White","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","No","i niether like nor dislike them","i dislike them a little","i like composition and literature best","not really","not likely","14","rdd","math training",31780,"no","no","no","no","no","yes","english intensive",25,6,0,"no",5,"yes",8,6,50,5,1
"22",22,51,19,"Female","Hisp","Single","management, b.s.","Yes","Yes","No","Yes","i like them a lot","i like them a lot","i like composition and literature best","maybe","probably","2 3","rdd","math training",32041,"no","no","no","yes","no","no","english intensive",27,5,0,"no",5,"yes",6,17,51,7,1
"23",23,52,18,"Male","Asian","Single","undecided","Yes","No","No","Yes","i like them a little","i niether like nor dislike them","i like composition and literature best","maybe","maybe","4","rdd","vocab training",32746,"no","yes","no","no","no","no","unknown",10,9,11,"yes",0,"no",11,11,52,-10,0
"24",24,54,18,"Female","White","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i like them a lot","i like them a lot","i like math/statistics and composition/literature equally well","not really","probably","2 14 15","rdd","math training",31930,"no","no","no","no","no","yes","english intensive",25,7,0,"no",5,"yes",12,16,54,5,1
"25",25,57,19,"Female","White","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i niether like nor dislike them","i like composition and literature best","certainly not","not likely","3 4 12 14","rdd","math training",32248,"no","no","no","no","no","yes","math intensive",25,9,0,"no",5,"yes",9,14,57,5,1
"26",26,58,19,"Female","Hisp","Single","undecided","Yes","No","No","Yes","i niether like nor dislike them","i like them a lot","i like math and statistics best","probably","not likely","3 7 13 14","rdd","vocab training",31162,"no","no","no","yes","no","no","unknown",11,4,0,"no",0,"no",0,2,58,-9,1
"27",27,60,20,"Female","White","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","probably","2 14 15","rdd","math training",30832,"no","no","no","no","no","yes","english intensive",27,3,0,"no",4,"yes",9,12,60,7,1
"28",28,61,19,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","maybe","2, 3, 1","rdd","math training",32656,"no","yes","no","no","no","no","math intensive",28,11,0,"no",4,"yes",15,17,61,8,1
"29",29,62,19,"Male","White","Single","management, b.s.","Yes","Yes","No","No","i like them a little","i like them a lot","i like math and statistics best","probably","not likely","7 12 14","rdd","vocab training",32902,"no","no","no","no","no","yes","english intensive",16,7,21,"yes",0,"no",11,15,62,-4,0
"30",30,64,18,"Female","Hisp","Single","psychology, b.a.","Yes","Yes","No","No","i like them a lot","i dislike them a little","i like composition and literature best","certainly not","maybe","13 14 6","rdd","math training",32698,"no","no","no","yes","no","no","english intensive",24,11,0,"no",3,"yes",7,15,64,4,1
"31",31,67,18,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","not really","maybe","3 4 14","rdd","math training",32839,"no","no","no","yes","no","no","math intensive",23,7,0,"no",5,"yes",4,16,67,3,1
"32",32,68,18,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","No","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","3 4 14","rdd","vocab training",32668,"no","no","no","yes","no","no","math intensive",16,2,12,"yes",0,"no",5,7,68,-4,1
"33",33,70,18,"Male","Black","Single","psychology, b.a.","Yes","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","probably","3 1 4","rdd","math training",32755,"no","no","yes","no","no","no","english intensive",23,6,0,"no",5,"yes",10,11,70,3,1
"34",34,71,20,"Male","Hisp","Single","mechanical engineering, b.s. ","Yes","No","No","Yes","i dislike them a lot","i niether like nor dislike them","i like math and statistics best","maybe","certainly not","2","rdd","vocab training",32284,"no","no","no","yes","no","no","math intensive",17,5,8,"yes",0,"no",5,14,71,-3,1
"35",35,72,18,"Female","White","Single","undecided","Yes","No","No","No","i like them a little","i niether like nor dislike them","i like composition and literature best","not really","maybe","2 14 9","rdd","vocab training",32767,"no","no","no","no","no","yes","unknown",16,6,10,"yes",0,"no",7,7,72,-4,0
"36",36,78,19,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","not really","maybe","3 12 14","rdd","vocab training",32863,"no","no","no","yes","no","no","math intensive",19,7,30,"yes",0,"no",16,14,78,-1,0
"37",37,81,18,"Female","Hisp","Single","psychology, b.a.","Yes","Yes","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","not really","not likely","4 14 7","rdd","vocab training",32212,"no","no","no","yes","no","no","english intensive",19,10,31,"yes",0,"no",14,11,81,-1,0
"38",38,82,19,"Male","Asian","Single","bioengineering, b.s.","Yes","Yes","Yes","Yes","i like them a little","i like them a lot","i like math and statistics best","probably","not likely","31012","rdd","math training",32335,"no","yes","no","no","no","no","math intensive",20,4,0,"no",5,"yes",10,17,82,0,1
"39",39,83,18,"Male","Asian","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","not really","maybe","2 14 15","rdd","math training",32830,"no","yes","no","no","no","no","english intensive",21,10,0,"no",5,"yes",8,14,83,1,1
"40",40,89,18,"Male","Asian","Single","biological sciences, b.s.","Yes","Yes","Yes","Yes","i like them a lot","i like them a lot","i like math and statistics best","not really","certainly not","3","rdd","math training",32812,"no","yes","no","no","no","no","math intensive",24,7,0,"no",3,"yes",8,14,89,4,1
"41",41,91,19,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","maybe","maybe","2, 3, 14","rdd","math training",31891,"no","yes","no","no","no","no","math intensive",20,9,0,"no",5,"yes",6,11,91,0,1
"42",42,94,21,"Male","Other","Single","congnitive sciences, b.s./b.a.","Yes","Yes","Yes","Yes","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","not likely","15 4 12","rdd","math training",32356,"no","no","no","no","no","no","english intensive",27,7,0,"no",5,"yes",10,11,94,7,1
"43",43,95,18,"Female","Hisp","Single","psychology, b.a.","Yes","Yes","No","No","i like them a little","i like them a little","i like composition and literature best","not really","not likely","8 14 15","rdd","math training",32380,"no","no","no","yes","no","no","english intensive",20,6,0,"no",5,"yes",8,13,95,0,1
"44",44,96,18,"Female","Other","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","No","i like them a lot","i niether like nor dislike them","i like composition and literature best","certainly not","probably","8 11 15","rdd","math training",32566,"no","no","no","no","no","no","english intensive",27,10,0,"no",5,"yes",9,18,96,7,1
"45",45,98,20,"Female","Hisp","Single","psychology, b.a.","Yes","Yes","No","No","i like them a lot","i like them a little","i like composition and literature best","not really","maybe","14 15 6","rdd","vocab training",32317,"no","no","no","yes","no","no","english intensive",19,9,31,"yes",0,"no",13,8,98,-1,0
"46",46,100,18,"Female","Other","Single","undecided","Yes","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","defintely","3","rdd","vocab training",32836,"no","no","no","no","no","no","unknown",11,4,18,"yes",0,"no",5,6,100,-9,1
"47",47,101,18,"Male","Hisp","Single","undecided","Yes","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","not really","probably","14 1 7","rdd","math training",32716,"no","no","no","yes","no","no","unknown",24,3,0,"no",5,"yes",7,11,101,4,1
"48",48,104,18,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","No","i dislike them a lot","i like them a little","i like math and statistics best","probably","certainly not","2 8 15","rdd","math training",32710,"no","yes","no","no","no","no","math intensive",22,7,0,"no",3,"yes",4,10,104,2,1
"49",49,107,18,"Female","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i dislike them a little ","i like them a lot","i like math and statistics best","definitely","not likely","345","rdd","vocab training",32293,"no","yes","no","no","no","no","math intensive",12,6,14,"yes",0,"no",7,7,107,-8,0
"50",50,108,19,"Male","White","Single","psychology, b.a.","Yes","No","No","Yes","i like them a lot","i like them a lot","i like math/statistics and composition/literature equally well","certainly not","maybe","4 11 14","rdd","math training",31858,"no","no","no","no","no","yes","english intensive",27,8,0,"no",5,"yes",7,19,108,7,1
"51",51,109,18,"Female","Hisp","Single","polical science, b.a. ","Yes","No","No","Yes","i like them a little","i dislike them a little","i like composition and literature best","probably","probably","6 13 14","rdd","math training",32332,"no","no","no","yes","no","no","english intensive",21,6,0,"no",5,"yes",7,10,109,1,1
"52",52,112,19,"Female","Hisp","Single","psychology, b.a.","Yes","No","Yes","No","i niether like nor dislike them","i like them a little","i like math and statistics best","maybe","maybe","2 8 14","rdd","vocab training",32290,"no","no","no","yes","no","no","english intensive",18,3,30,"yes",0,"no",16,7,112,-2,1
"53",53,118,18,"Female","Hisp","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","2,10,9","rdd","vocab training",32581,"no","no","no","yes","no","no","math intensive",18,9,14,"yes",0,"no",10,15,118,-2,0
"54",54,119,21,"Female","White","Married","psychology, b.a.","Yes","No","No","No","i like them a little","i like them a little","i like math and statistics best","maybe","not likely","14, 6, 2","rdd","math training",32827,"no","no","no","no","no","yes","english intensive",30,10,0,"no",5,"yes",17,12,119,10,1
"55",55,121,18,"Female","Hisp","Single","psychology, b.a.","Yes","No","No","No","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","maybe","3 4 12","rdd","math training",32215,"no","no","no","yes","no","no","english intensive",25,3,0,"no",1,"yes",7,2,121,5,1
"56",56,122,19,"Female","Hisp","Single","undecided","Yes","Yes","Yes","Yes","i dislike them a little ","i niether like nor dislike them","i like math and statistics best","maybe","not likely","329","rdd","vocab training",NA,"no","no","no","yes","no","no","unknown",19,1,26,"yes",0,"no",0,0,122,-1,1
"57",57,124,18,"Female","Asian","Single","psychology, b.a.","Yes","No","No","No","i niether like nor dislike them","i dislike them a little","i like math/statistics and composition/literature equally well","not really","not likely","15","rdd","vocab training",32431,"no","yes","no","no","no","no","english intensive",19,4,31,"yes",0,"no",10,12,124,-1,1
"58",58,125,18,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","No","i niether like nor dislike them","i dislike them a little","i like composition and literature best","not really","maybe","2,3,8,10,14,4,7","rdd","math training",32395,"no","no","no","yes","no","no","math intensive",24,4,0,"no",4,"yes",9,8,125,4,1
"59",59,126,18,"Female","Black","Single","biological sciences, b.s.","Yes","Yes","No","No","i like them a lot","i dislike them a little","i like composition and literature best","certainly not","maybe","3 11 14","rdd","math training",32833,"no","no","yes","no","no","no","math intensive",21,5,0,"no",5,"yes",7,11,126,1,1
"60",60,129,18,"Female","White","Single","congnitive sciences, b.s./b.a.","Yes","No","Yes","No","i like them a lot","i niether like nor dislike them","i like composition and literature best","not really","defintely","14 4 3","rdd","math training",32344,"no","no","no","no","no","yes","english intensive",24,7,0,"no",4,"yes",8,16,129,4,1
"61",61,133,18,"Female","Black","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","probably","3 4 6 10 13 14 15","rdd","math training",32638,"no","no","yes","no","no","no","english intensive",20,7,0,"no",3,"yes",4,10,133,0,1
"62",62,135,18,"Female","Asian","Single","biological sciences, b.s.","No","No","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","not really","not likely","3 10 14","rdd","vocab training",32611,"no","yes","no","no","no","no","math intensive",12,9,0,"no",0,"no",14,15,135,-8,0
"63",63,136,20,"Female","White","Married","congnitive sciences, b.s./b.a.","Yes","No","No","Yes","i like them a lot","i like them a lot","i like math/statistics and composition/literature equally well","definitely","defintely","8 5 7","rdd","math training",32557,"no","no","no","no","no","yes","english intensive",23,8,0,"no",3,"yes",5,13,136,3,1
"64",64,137,19,"Male","White","Single","earth systems science, b.s. ","Yes","Yes","No","Yes","i dislike them a little ","i like them a little","i like math and statistics best","not really","not likely","3 4 9","rdd","vocab training",32515,"no","no","no","no","no","yes","math intensive",14,9,19,"yes",0,"no",15,14,137,-6,0
"65",65,138,18,"Male","White","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","certainly not","probably","13 6","rdd","math training",32890,"no","no","no","no","no","yes","english intensive",20,8,0,"no",5,"yes",7,13,138,0,1
"66",66,139,21,"Female","Asian","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i dislike them a little ","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","1 5 8 11","rdd","vocab training",32809,"no","yes","no","no","no","no","english intensive",16,8,21,"yes",0,"no",11,19,139,-4,0
"67",67,141,18,"Female","Hisp","Single","congnitive sciences, b.s./b.a.","Yes","No","No","No","i like them a little","i like them a little","i like composition and literature best","probably","not likely","169","rdd","vocab training",32308,"no","no","no","yes","no","no","english intensive",18,5,31,"yes",0,"no",12,8,141,-2,1
"68",68,142,18,"Female","Hisp","Single","management, b.s.","Yes","No","No","No","i like them a little","i dislike them a little","i like composition and literature best","not really","maybe","8 14 6","rdd","math training",32860,"no","no","no","yes","no","no","english intensive",20,8,0,"no",4,"yes",1,15,142,0,1
"69",69,143,19,"Female","Asian","Single","biological sciences, b.s.","Yes","Yes","No","Yes","i dislike them a little ","i like them a lot","i like math and statistics best","not really","certainly not","5 8 14","rdd","vocab training",32314,"no","yes","no","no","no","no","math intensive",19,8,31,"yes",0,"no",17,14,143,-1,0
"70",70,144,18,"Male","Other","Single","psychology, b.a.","Yes","No","No","No","i like them a lot","i like them a little","i like composition and literature best","not really","probably","11 15 6","rdd","math training",32815,"no","no","no","no","yes","no","english intensive",23,8,0,"no",3,"yes",7,11,144,3,1
"71",71,145,19,"Male","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i dislike them a little ","i niether like nor dislike them","i like math and statistics best","not really","certainly not","3 5 10","rdd","vocab training",32722,"no","yes","no","no","no","no","math intensive",15,10,22,"yes",0,"no",10,17,145,-5,0
"72",72,147,18,"Male","Black","Single","undecided","Yes","Yes","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","not really","not likely","7 10 8","rdd","math training",32551,"no","no","yes","no","no","no","unknown",26,9,0,"no",5,"yes",13,16,147,6,1
"73",73,148,21,"Male","Asian","Single","congnitive sciences, b.s./b.a.","Yes","Yes","No","Yes","i dislike them a little ","i like them a lot","i like math and statistics best","probably","not likely","3 4 14","rdd","vocab training",32338,"no","yes","no","no","no","no","english intensive",11,11,20,"yes",0,"no",10,18,148,-9,0
"74",74,149,19,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","certainly not","not likely","3 10 11","rdd","vocab training",32851,"no","no","no","yes","no","no","math intensive",19,7,19,"yes",0,"no",8,12,149,-1,0
"75",75,150,19,"Male","White","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a little","i like them a lot","i like math and statistics best","maybe","not likely","3 8 9 14 15","rdd","math training",32923,"no","no","no","no","no","yes","math intensive",21,7,0,"no",5,"yes",4,17,150,1,1
"76",76,155,18,"Male","Asian","Single","biological sciences, b.s.","Yes","No","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","probably","not likely","3","rdd","math training",32383,"no","yes","no","no","no","no","math intensive",21,5,0,"no",3,"yes",7,14,155,1,1
"77",77,163,18,"Female","Other","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i niether like nor dislike them","i like math and statistics best","maybe","not likely","2 3","rdd","math training",32536,"no","no","no","no","no","no","math intensive",25,10,0,"no",5,"yes",13,16,163,5,1
"78",78,164,19,"Male","White","Single","history, b.a.","Yes","Yes","No","No","i like them a lot","i like them a little","i like composition and literature best","certainly not","defintely","8 10 11","rdd","math training",32770,"no","no","no","no","no","yes","english intensive",22,9,0,"no",5,"yes",12,16,164,2,1
"79",79,169,18,"Male","Asian","Single","congnitive sciences, b.s./b.a.","Yes","No","No","No","i niether like nor dislike them","i dislike them a little","i like math/statistics and composition/literature equally well","not really","maybe","11 14 15","rdd","vocab training",32224,"no","yes","no","no","no","no","english intensive",19,12,31,"yes",0,"no",12,18,169,-1,0
"80",80,170,19,"Male","Hisp","Single","economics, b.a. ","Yes","No","No","Yes","i like them a little","i like them a little","i like math and statistics best","not really","maybe","1 7 9 10","rdd","math training",32575,"no","no","no","yes","no","no","math intensive",23,7,0,"no",4,"yes",5,14,170,3,1
"81",81,171,18,"Male","White","Single","polical science, b.a. ","Yes","No","No","No","i like them a little","i like them a little","i like math and statistics best","maybe","not likely","13,10,6","rdd","math training",32584,"no","no","no","no","no","yes","english intensive",22,6,0,"no",4,"yes",8,15,171,2,1
"82",82,173,18,"Male","Asian","Single","management, b.s.","Yes","Yes","Yes","No","i like them a little","i like them a lot","i like math/statistics and composition/literature equally well","probably","probably","2 5 6 7 15","rdd","math training",32779,"no","yes","no","no","no","no","english intensive",20,6,0,"no",5,"yes",8,18,173,0,1
"83",83,174,18,"Male","Hisp","Single","biological sciences, b.s.","Yes","Yes","No","No","i dislike them a little ","i like them a lot","i like math and statistics best","probably","not likely","14 3 4","rdd","vocab training",32806,"no","no","no","yes","no","no","math intensive",18,6,13,"yes",0,"no",9,12,174,-2,0
"84",84,175,18,"Male","White","Single","undecided","Yes","Yes","No","Yes","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","3 5 12","rdd","math training",32749,"no","no","no","no","no","yes","unknown",26,11,0,"no",5,"yes",15,18,175,6,1
"85",85,176,18,"Female","Hisp","Single","psychology, b.a.","Yes","No","No","No","i niether like nor dislike them","i like them a little","i like composition and literature best","maybe","maybe","8 14 15","rdd","math training",32701,"no","no","no","yes","no","no","english intensive",21,4,0,"no",3,"yes",5,11,176,1,1
"86",86,177,19,"Male","Hisp","Single","management, b.s.","Yes","Yes","No","Yes","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","maybe","maybe","6 9 11 13 15","rdd","math training",31573,"no","no","no","yes","no","no","english intensive",21,6,0,"no",0,"no",0,8,177,1,1
"87",87,178,19,"Male","Asian","Single","history, b.a.","Yes","No","No","Yes","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","not really","probably","2 7 8","rdd","math training",32554,"no","yes","no","no","no","no","english intensive",22,10,0,"no",5,"yes",10,18,178,2,1
"88",88,181,19,"Male","White","Single","physics, b.s. ","Yes","No","No","Yes","i niether like nor dislike them","i like them a lot","i like math and statistics best","maybe","not likely","4 5 14","rdd","math training",32797,"no","no","no","no","no","yes","math intensive",23,9,0,"no",4,"yes",9,17,181,3,1
"89",89,183,18,"Male","Hisp","Single","undecided","Yes","Yes","Yes","No","i like them a lot","i like them a little","i like composition and literature best","not really","probably","5 10 14","rdd","math training",32647,"no","no","no","yes","no","no","unknown",26,9,0,"no",4,"yes",9,15,183,6,1
"90",90,184,18,"Female","Hisp","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","not really","not likely","3 14 8","rdd","math training",32842,"no","no","no","yes","no","no","math intensive",22,6,0,"no",5,"yes",5,14,184,2,1
"91",91,186,19,"Male","Hisp","Single","computer science/engineering, b.s. ","Yes","Yes","No","Yes","i dislike them a lot","i like them a little","i like math and statistics best","certainly not","certainly not","5","rdd","vocab training",32782,"no","no","no","yes","no","no","math intensive",18,6,20,"yes",0,"no",11,11,186,-2,0
"92",92,190,18,"Male","Hisp","Single","congnitive sciences, b.s./b.a.","Yes","No","No","No","i niether like nor dislike them","i niether like nor dislike them","i like math/statistics and composition/literature equally well","not really","not likely","7 14 8 5","rdd","math training",32296,"no","no","no","yes","no","no","english intensive",25,7,0,"no",5,"yes",7,13,190,5,1
"93",93,192,18,"Female","Hisp","Single","management, b.s.","Yes","No","No","No","i dislike them a little ","i like them a little","i like math and statistics best","probably","certainly not","7 14 15","rdd","math training",32674,"no","no","no","yes","no","no","english intensive",24,9,0,"no",5,"yes",5,14,192,4,1
"94",94,193,21,"Male","White","Single","congnitive sciences, b.s./b.a.","Yes","No","No","Yes","i like them a lot","i like them a little","i like composition and literature best","not really","defintely","5 8 11","rdd","math training",31696,"no","no","no","no","no","yes","english intensive",29,9,0,"no",5,"yes",17,17,193,9,1
"95",95,196,20,"Male","White","Single","biological sciences, b.s.","Yes","No","No","Yes","i like them a lot","i dislike them a lot","i like composition and literature best","certainly not","not likely","3 10 11 14","rdd","math training",31279,"no","no","no","no","no","yes","math intensive",27,8,0,"no",5,"yes",9,14,196,7,1
"96",96,200,18,"Female","Asian","Single","other","Yes","No","No","No","i niether like nor dislike them","i like them a little","i like math/statistics and composition/literature equally well","maybe","probably","2 10 15","rdd","vocab training",32929,"no","yes","no","no","no","no","unknown",19,10,30,"yes",0,"no",0,7,200,-1,0
"97",97,202,18,"Female","Asian","Single","psychology, b.a.","Yes","No","No","No","i like them a little","i dislike them a lot","i like composition and literature best","certainly not","probably","1 10 5 14","rdd","math training",32887,"no","yes","no","no","no","no","english intensive",20,2,0,"no",4,"yes",10,12,202,0,1
"98",98,203,19,"Female","Hisp","Single","undecided","Yes","No","No","Yes","i niether like nor dislike them","i like them a little","i like math and statistics best","maybe","not likely","2 8 10","rdd","math training",32410,"no","no","no","yes","no","no","unknown",23,1,0,"no",4,"yes",8,13,203,3,1
"99",99,205,18,"Male","Hisp","Single","biological sciences, b.s.","Yes","No","No","No","i like them a little","i like them a little","i like math/statistics and composition/literature equally well","probably","probably","2 24 10 11","rdd","vocab training",32353,"no","no","no","yes","no","no","math intensive",17,5,21,"yes",0,"no",11,13,205,-3,1
"100",100,206,18,"Female","Hisp","Single","psychology, b.a.","Yes","Yes","Yes","No","i like them a lot","i like them a little","i like composition and literature best","maybe","maybe","128","rdd","math training",32578,"no","no","no","yes","no","no","english intensive",24,4,0,"no",5,"yes",11,15,206,4,1
